position,flow_cell_id,product_code,passed,total_pore_count,timestamp
1G,PAW66051,FLO-PRO114M,True,7583,1720722363
1G,PAO92678,FLO-PRO114M,True,7018,1719240293
1G,PAW64602,FLO-PRO114M,True,7555,1715697317
1G,PAW80656,FLO-PRO114M,True,6076,1720789991
1G,PAW96156,FLO-PRO114M,True,6815,1719841907
1H,PAW64255,FLO-PRO114M,True,7139,1715697316
1H,PAU29745,FLO-PRO114M,True,8379,1702907169
1H,PAU53663,FLO-PRO114M,True,6535,1709649392
1H,PAW28732,FLO-PRO114M,True,6865,1712240572
1H,PAU56874,FLO-PRO114M,True,7793,1710172039
1H,PAW71456,FLO-PRO114M,True,7675,1716920362
1H,PAU50240,FLO-PRO114M,True,5589,1721326835
1H,PAY03757,FLO-PRO114M,True,7140,1719841907
1H,PAW66011,FLO-PRO114M,True,7393,1720722365
1H,PAW71047,FLO-PRO114M,True,6858,1715692847
1H,PAU31578,FLO-PRO114M,True,6483,1719240294
1H,CTC42350,FLO-PRO002,False,0,1724772706
1H,PAS44232,FLO-PRO114M,False,4584,1698170517
1H,PAY56887,FLO-PRO114M,True,6051,1720724116
1H,PAW63136,FLO-PRO114M,True,7053,1715696183
1H,PAU32450,FLO-PRO114M,True,7595,1704822302
1H,PAW40961,FLO-PRO114M,True,7679,1716310942
1H,PAW64325,FLO-PRO114M,True,7624,1715694686
1H,PAW22718,FLO-PRO114M,True,5920,1720789987
2A,PAY58343,FLO-PRO114M,False,3693,1726580596
2A,PAQ70452,FLO-PRO114M,True,8128,1698173303
2A,PAU32093,FLO-PRO114M,True,8097,1708698141
2A,PAO13256,FLO-PRO114M,True,6408,1705595338
2A,PAU30012,FLO-PRO114M,True,8058,1702907163
2A,CTC43507,FLO-PRO002,False,0,1724772705
2A,PAS46345,FLO-PRO114M,False,4799,1698171786
2B,PAQ53991,FLO-PRO114M,True,6213,1705595338
2B,PAS44232,FLO-PRO114M,False,4543,1698171788
2B,PAU30005,FLO-PRO114M,True,8692,1708698140
2B,PAU54465,FLO-PRO114M,True,7352,1708443624
