Experiment Name	Sample Name	Run Date	Sequencer ID	Flow Cell Position	Flow Cell ID	Flow Cell Product Code	Data output (Gb)	Read Count (M)	N50 (kb)	MinKNOW Version	Sample Rate (Hz)	Starting Median Translocation Speed	Average Median Translocation Speed Over Time	Weighted Average Median Translocation Speed Over Time	Starting Median Q Score	Average Median Q Score Over Time	Weighted Average Median Q Score Over Time	Passed Bases (Gb)	Failed Bases (Gb)	Passed Reads (M)	Failed Reads (M)	Percentage Passed Bases	Percentage Passed Reads	Passed Modal Q Score	Failed Modal Q Score	Starting Active Pores	Second Active Pore Count	Average Active Pores	Active Pore AUC	Average Active Pore Change Per Mux Scan	Starting Pore Occupancy	Average Pore Occupancy	Starting Adapter Sequencing Percentage	Average Adapter Sequencing Percentage	Start Run ISO Timestamp	Start Run Timestamp
NBB_UMNB-063_FTX	NBB_UMNB-063_FTX	2024-10-15	PC48B098	4A	PAY54356	FLO-PRO114M	88.035	10.406	24.68	24.06.14	5000	399.133	395.786	396.631	6.037	7.973	7.796	77.177	10.193	4.908	5.535	88.334	46.998	14.05	4.05	6077	5893	2964.6	133407	114.886	93.601	93.087	8.675	4.955	2024-10-15T18:22:15.573146967Z	1729016536
NBB_SINAI-102_FTX	NBB_SINAI-102_FTX	2024-12-11	PC48B098	2C	PBA67960	FLO-PRO114M	112.902	6.253	27.25	24.06.14	5000	398.507	392.994	394.692	12.883	12.393	12.653	101.977	12.11	4.976	1.297	89.385	79.324	14.15	5.95	6974	6524	3517.682	154778	128.93	96.756	96.323	1.43	1.459	2024-12-11T17:07:49.597685791Z	1733936870
NBB_UMNB-014_FTX	NBB_UMNB-014_FTX_topup	2024-12-10	PC48B098	6H	PAY17079	FLO-PRO114M	64.909	6.281	23.86	24.06.14	5000	400.291	394.847	396.881	4.893	9.658	9.179	52.225	9.799	3.53	2.771	84.201	56.023	13.55	3.25	3595	4018	1861.283	85619	66.889	92.708	93.902	1.07	0.557	2024-12-10T18:29:09.117261681Z	1733855349
NBB_SEP-029_FTX	NBB_SEP-029_FTX	2024-11-12	PC48B098	3F	PBA62888	FLO-PRO114M	130.926	10.904	22.59	24.06.14	5000	398.772	379.91	391.521	12.302	11.971	12.374	122.254	9.307	8.268	2.704	92.926	75.355	14.05	4.05	7883	7515	4290.045	188762	143.907	97.288	95.289	3.049	1.764	2024-11-12T16:48:56.200563001Z	1731430136
NBB_SINAI-067_FTX	NBB_SINAI-067_FTX	2024-10-29	PC48B098	4E	PAY16505	FLO-PRO114M	110.42	6.479	28.23	24.06.14	5000	397.822	393.988	394.174	11.629	11.671	11.915	99.042	11.558	4.483	2.02	89.55	68.937	14.05	3.65	6873	6725	3533.356	159001	137.659	95.033	94.99	2.1	1.269	2024-10-29T16:13:27.034792654Z	1730218407
NBB_UMNB-041_FTX	NBB_UMNB-041_FTX	2024-12-02	PC48B080	3A	PBA63597	FLO-PRO114M	61.265	6.619	24.86	24.06.14	5000	398.691	389.181	391.858	8.734	8.692	9.015	51.041	10.315	3.706	2.93	83.188	55.847	13.15	4.05	5645	5141	2371.644	106724	113.864	83.257	73.424	2.407	1.394	2024-12-02T18:07:56.294380494Z	1733162876
NBB_MIA-037_FTX	NBB_MIA-037_FTX	2024-11-25	PC48B098	1B	PBA57838	FLO-PRO114M	98.139	6.641	24.55	24.06.14	5000	401.444	394.483	395.573	12.95	12.751	12.863	92.357	6.714	5.815	0.851	93.223	87.234	14.05	7.25	7084	6695	3062.341	134743	144.302	97.263	96.209	0.631	0.417	2024-11-25T16:58:05.866875897Z	1732553886
NBB_UMNB-074_FTX	NBB_UMNB-074_FTX	2024-10-15	PC48B098	4G	PAW68430	FLO-PRO114M	104.591	7.134	28.25	24.06.14	5000	396.539	393.403	393.921	10.141	10.215	10.376	85.049	17.894	4.479	2.673	82.618	62.626	13.15	4.05	6388	6176	3320.044	149402	124.023	94.373	94.852	2.241	1.186	2024-10-15T18:20:09.428568516Z	1729016409
NBB_UMNB-103_FTX	NBB_UMNB-103_FTX	2024-10-30	PC48B080	3E	PAW89009	FLO-PRO114M	28.18	1.742	29.09	24.06.14	5000	399.714	388.183	391.369	12.017	10.696	11.518	24.875	3.403	1.279	0.468	87.966	73.211	13.35	4.05	4122	3820	1438.464	40277	141.37	94.823	91.072	1.104	0.794	2024-10-30T20:39:18.902200816Z	1730320759
NBB_SINAI-150_FTX	NBB_SINAI-150_FTX	2024-12-11	PC48B098	3G	PBA63307	FLO-PRO114M	50.925	4.707	22.06	24.06.14	5000	398.792	386.694	391.404	12.415	9.617	10.804	42.727	7.314	3.406	1.311	85.384	72.207	12.85	7.85	4859	4292	1766.886	77743	100.767	96.564	73.569	1.226	0.43	2024-12-11T18:33:30.125703371Z	1733942010
NBB_SEP-007_FTX	NBB_SEP-007_FTX	2024-10-28	PC48B080	1B	PAY00955	FLO-PRO114M	0.712	0.123	18.7	24.06.14	5000	390.98	396.562	396.215	8.288	8.055	8.101	0.522	0.201	0.062	0.061	72.199	50.407	8.15	4.05	2132	1586	1859.0	3718	546.0	65.769	64.564	4.644	2.92	2024-10-28T15:17:58.980049195Z	1730128679
NBB_SEP-020_FTX	NBB_SEP-020_FTX	2024-11-12	PC48B098	3D	PBA57933	FLO-PRO114M	99.592	13.256	17.39	24.06.14	5000	399.036	381.25	392.772	12.485	12.007	12.419	90.827	8.286	10.6	2.742	91.64	79.448	13.95	4.05	6564	6304	3202.545	140912	127.395	97.214	94.579	3.047	1.674	2024-11-12T16:52:19.808493428Z	1731430340
NBB_MIA-010_FTX	NBB_MIA-010_FTX	2024-10-30	PC24B302	3C	PAY10407	FLO-PRO114M	112.932	9.711	21.43	24.06.14	5000	403.662	390.99	393.177	12.645	12.673	12.72	104.58	9.092	8.087	1.662	92.002	82.952	14.05	5.85	7146	6820	4017.488	164717	136.525	97.085	95.525	2.483	1.022	2024-10-30T18:35:51.318276150Z	1730313351
NBB_UMNB-091_FTX	NBB_UMNB-091_FTX_topup	2024-11-21	PC48B080	2A	PAY10573	FLO-PRO114M	38.53	7.494	22.99	24.06.14	5000	400.776	395.968	396.149	11.28	11.748	11.744	33.996	3.764	5.55	1.967	90.032	73.833	13.85	3.25	5224	5013	3546.733	53201	224.429	91.565	96.265	6.974	2.596	2024-11-21T19:21:58.124579393Z	1732216918
NBB_UMNB-037_FTX	NBB_UMNB-037_FTX_topup	2024-12-16	PC48B098	5E	PAQ86868	FLO-PRO114M	11.326	1.559	28.71	24.06.14	5000	388.586	385.645	392.65	7.177	5.733	6.776	6.352	4.714	0.552	1.008	57.401	35.385	8.05	4.05	2799	2266	855.2	25656	81.241	74.022	35.576	1.391	1.702	2024-12-16T16:58:43.031931760Z	1734368323
NBB_UMNB-057_FTX	NBB_UMNB-057_FTX	2024-10-15	PC48B098	3D	PAY16508	FLO-PRO114M	125.613	9.33	20.56	24.06.14	5000	396.319	396.553	396.523	12.079	12.011	12.135	111.062	14.299	6.754	2.617	88.594	72.073	14.05	3.75	5488	5866	3921.227	172534	90.93	95.985	96.981	1.56	0.881	2024-10-15T17:30:19.438956630Z	1729013419
NBB_SINAI-113_FTX	NBB_SINAI-113_FTX	2024-11-12	PC48B098	1D	PBA63206	FLO-PRO114M	101.068	10.449	21.36	24.06.14	5000	398.378	378.91	391.704	10.978	11.526	11.921	94.959	6.566	7.347	3.163	93.533	69.905	14.05	5.05	7089	6818	3312.273	145740	150.628	96.841	93.514	5.821	2.841	2024-11-12T16:43:31.704981576Z	1731429812
NBB_HARV-009_FTX	NBB_HARV-009_FTX	2024-10-28	PC48B080	2E	PAY07916	FLO-PRO114M	84.496	5.422	25.67	24.06.14	5000	397.59	392.199	392.401	12.16	12.443	12.449	79.159	6.737	4.269	1.178	92.157	78.373	14.15	5.75	6210	6031	3745.938	119870	75.613	96.578	97.049	2.459	1.686	2024-10-28T15:26:48.582775739Z	1730129209
NBB_UMNB-090_FTX	NBB_UMNB-090_FTX_recovery	2024-12-12	PC48B080	5G	PAU80263	FLO-PRO114M	25.729	2.352	22.17	24.06.14	5000	388.934	382.221	385.961	7.727	6.498	7.34	15.688	7.878	1.057	1.297	66.57	44.902	12.35	4.05	3750	3532	1414.312	45258	102.839	61.897	59.535	0.426	0.248	2024-12-12T16:58:17.994780847Z	1734022698
NBB_MIA-026_FTX	NBB_MIA-026_FTX	2024-10-30	PC24B302	3F	PAY06472	FLO-PRO114M	44.722	2.39	27.18	24.06.14	5000	403.588	378.257	395.052	12.856	11.568	12.792	41.323	3.749	1.98	0.416	91.682	82.638	14.15	6.05	6945	6622	3989.5	63832	454.067	90.446	87.905	0.532	0.536	2024-10-30T19:41:45.375223248Z	1730317305
